,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
125,Jeff Green,HOU,PF-C,0.8448844884488449,0.5732529265697055,0.31743201069995547,0.4444444444444447,0.4615384615384615,0.21307072515666964,0.36984732824427485,0.27473363774733645,0.17013232514177695,0.44,0.3,0.39,0.39,0.4,0.33,0.32,0.16,0.25,0.21,0.13,0.29,0.17,0.26,0.27,0.4
126,Blake Griffin,DET,PF,0.49834983498349833,0.8985455835402625,0.6518056174765939,0.4444444444444447,0.3333333333333333,0.41360787824529993,0.7446564885496184,0.42922374429223753,0.3856332703213611,0.77,0.32,0.41,0.7,0.74,0.56,0.62,0.25,0.49,0.41,0.48,0.19,0.11,0.58,0.25,0.69
127,Tim Hardaway,DAL,SG,0.7491749174917491,0.6931536005675771,0.36112349531876947,0.4444444444444447,0.6538461538461539,0.12354521038495972,0.4706106870229007,0.30974124809741255,0.2457466918714556,0.63,0.54,0.68,0.35,0.38,0.31,0.3,0.06,0.19,0.13,0.21,0.29,0.03,0.23,0.16,0.51
128,James Harden,HOU,SG,0.9405940594059405,1.0,1.0,0.6296296296296297,0.641025641025641,0.3030438675022381,1.0,1.0,0.6597353497164462,0.95,0.74,0.9,0.54,0.55,1.0,1.0,0.14,0.4,0.3,0.78,0.71,0.19,1.0,0.25,1.0
129,Maurice Harkless,NYK,SF,0.7920792079207921,0.5211067754522881,0.29112795363352656,0.4444444444444447,0.4358974358974359,0.266338406445837,0.15725190839694653,0.2762557077625571,0.32892249527410206,0.24,0.22,0.27,0.31,0.28,0.1,0.14,0.33,0.24,0.26,0.09,0.52,0.31,0.21,0.39,0.22
130,Montrezl Harrell,LAC,C,0.7326732673267327,0.44022703086200776,0.7088720463664734,0.7407407407407409,0.02564102564102564,0.41360787824529993,0.4645038167938931,0.47336377473363783,0.33648393194706994,0.56,0.0,0.03,0.99,0.81,0.42,0.56,0.53,0.39,0.43,0.15,0.33,0.44,0.37,0.51,0.63
131,Gary Harris,DEN,SG,0.7161716171617162,0.8261794962752749,0.34106107891217124,0.48148148148148134,0.5128205128205129,0.08683974932855863,0.3232824427480916,0.3508371385083714,0.2570888468809074,0.44,0.38,0.44,0.36,0.36,0.18,0.18,0.12,0.1,0.08,0.21,0.57,0.06,0.23,0.16,0.37
132,Joe Harris,BRK,SF,0.6072607260726073,0.6548421426037602,0.2875613018279091,0.6296296296296297,0.717948717948718,0.1772605192479857,0.28320610687022896,0.350076103500761,0.25897920604914937,0.41,0.56,0.57,0.22,0.23,0.14,0.11,0.14,0.23,0.19,0.18,0.19,0.08,0.28,0.29,0.39
133,Tobias Harris,PHI,PF,0.976897689768977,0.8815182688896771,0.48996879179670094,0.48148148148148134,0.3974358974358974,0.3276633840644584,0.47862595419847326,0.3751902587519026,0.3818525519848771,0.62,0.36,0.43,0.55,0.57,0.28,0.28,0.16,0.43,0.33,0.2,0.29,0.14,0.23,0.16,0.53
134,Shaquille Harrison,CHI,SF,0.1419141914191419,0.2855622561191912,0.386535889433794,0.2962962962962964,0.28205128205128205,0.2587287376902417,0.2893129770992366,0.17732115677321159,0.23629489603024575,0.35,0.14,0.21,0.41,0.44,0.24,0.27,0.18,0.32,0.26,0.31,1.0,0.25,0.23,0.41,0.28
