,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
181,Maxi Kleber,DAL,C,0.39933993399339934,0.4508691025186236,0.33169861792242533,0.5555555555555555,0.6794871794871795,0.35899731423455683,0.1541984732824427,0.3234398782343988,0.31568998109640833,0.25,0.38,0.46,0.18,0.15,0.12,0.11,0.39,0.37,0.37,0.1,0.19,0.47,0.16,0.39,0.24
182,Brandon Knight,DET,PG,0.24422442244224424,0.5771550195104647,0.23941150245207315,0.22222222222222224,0.5641025641025641,0.10026857654431512,0.516793893129771,0.17884322678843229,0.08317580340264652,0.64,0.44,0.56,0.39,0.49,0.3,0.29,0.08,0.14,0.1,0.39,0.33,0.08,0.56,0.24,0.46
183,Kevin Knox,NYK,SF,0.14521452145214522,0.541326711599858,0.11502452073116362,0.11111111111111102,0.5641025641025641,0.2314234556848702,0.40267175572519087,0.05251141552511417,0.1720226843100189,0.55,0.42,0.53,0.26,0.41,0.24,0.29,0.14,0.31,0.24,0.08,0.24,0.17,0.28,0.31,0.36
184,Furkan Korkmaz,PHI,SG,0.1254125412541254,0.31287690670450513,0.2224699063753901,0.37037037037037057,0.782051282051282,0.17457475380483437,0.32061068702290074,0.22754946727549472,0.20982986767485823,0.46,0.62,0.7,0.15,0.2,0.18,0.17,0.08,0.24,0.16,0.14,0.33,0.06,0.16,0.25,0.38
185,Luke Kornet,CHI,C,0.019801980198019802,0.27953174884710885,0.35176103432902367,0.3333333333333335,0.8205128205128205,0.27126230975828114,0.30114503816793897,0.1971080669710807,0.13043478260869565,0.45,0.58,0.7,0.16,0.17,0.11,0.12,0.22,0.32,0.28,0.18,0.29,0.5,0.14,0.24,0.34
186,Kyle Korver,MIL,SF,0.8316831683168316,0.5168499467896417,0.24966562639322334,0.6296296296296297,0.923076923076923,0.13607878245299912,0.23053435114503815,0.2640791476407915,0.27977315689981097,0.33,0.66,0.66,0.06,0.07,0.09,0.06,0.02,0.21,0.14,0.16,0.24,0.14,0.21,0.24,0.31
187,Rodions Kurucs,BRK,PF,0.0462046204620462,0.3369989357928343,0.18591172536781098,0.4074074074074076,0.5769230769230769,0.3178155774395703,0.2732824427480916,0.16057838660578388,0.2457466918714556,0.37,0.32,0.43,0.29,0.29,0.17,0.18,0.24,0.38,0.34,0.11,0.43,0.17,0.4,0.55,0.3
188,Kyle Kuzma,LAL,PF,0.3696369636963696,0.7633912735012415,0.3397235844850647,0.37037037037037057,0.5128205128205129,0.2967770814682184,0.5110687022900764,0.2351598173515982,0.4064272211720227,0.66,0.44,0.57,0.49,0.5,0.26,0.29,0.2,0.38,0.31,0.16,0.19,0.14,0.4,0.24,0.53
189,Skal Labissiere,POR,C,0.1716171617161716,0.3210358283079106,0.4030316540347749,0.4444444444444447,0.14102564102564102,0.4973142345568487,0.35190839694656484,0.20091324200913244,0.13610586011342155,0.41,0.08,0.1,0.56,0.59,0.25,0.27,0.57,0.46,0.5,0.14,0.24,0.39,0.37,0.57,0.35
190,Jeremy Lamb,IND,SG,0.7821782178217822,0.5384888258247605,0.46856888096299604,0.4074074074074076,0.41025641025641024,0.3263205013428827,0.4751908396946565,0.3188736681887367,0.3553875236294896,0.59,0.34,0.43,0.51,0.54,0.31,0.3,0.14,0.42,0.32,0.21,0.43,0.17,0.21,0.25,0.49
191,Zach LaVine,CHI,SG,0.594059405940594,0.8503015253636041,0.47079803834150685,0.4444444444444447,0.4487179487179487,0.16069829901521934,0.6656488549618321,0.29528158295281587,0.2173913043478261,0.76,0.46,0.54,0.56,0.62,0.4,0.41,0.08,0.22,0.15,0.34,0.38,0.08,0.56,0.24,0.64
192,Jake Layman,MIN,PF,0.22442244224422442,0.1837531039375665,0.15381185911725373,0.18518518518518517,0.5769230769230769,0.1718889883616831,0.2625954198473282,0.210806697108067,0.1379962192816635,0.39,0.32,0.46,0.32,0.3,0.11,0.15,0.22,0.21,0.2,0.06,0.38,0.22,0.19,0.35,0.31
193,TJ Leaf,IND,PF,0.1419141914191419,0.006030507272082296,0.347748551047704,0.37037037037037057,0.2948717948717949,0.44136078782453,0.2805343511450382,0.20167427701674281,0.11153119092627599,0.41,0.16,0.25,0.49,0.5,0.1,0.15,0.53,0.38,0.43,0.05,0.24,0.22,0.07,0.29,0.31
194,Courtney Lee,DAL,SG,0.6402640264026402,0.6626463284852784,0.26526972804279986,0.4444444444444447,0.5,0.1060877350044763,0.2049618320610687,0.30365296803652975,0.1890359168241966,0.32,0.32,0.35,0.26,0.3,0.14,0.11,0.06,0.14,0.1,0.19,0.48,0.11,0.16,0.12,0.26
195,Alex Len,SAC,C,0.858085808580858,0.4256828662646328,0.4565314311190371,0.4444444444444447,0.12820512820512822,0.6463742166517458,0.3618320610687023,0.2656012176560122,0.26654064272211725,0.4,0.1,0.12,0.54,0.56,0.34,0.43,0.73,0.62,0.66,0.11,0.19,0.44,0.42,0.65,0.39
196,Kawhi Leonard,LAC,SF,0.5808580858085809,0.8666193685704149,0.9206419973250111,0.6296296296296297,0.358974358974359,0.3585496866606983,0.7725190839694656,0.7009132420091325,0.8109640831758034,0.86,0.42,0.47,0.77,0.78,0.66,0.64,0.22,0.44,0.35,0.32,0.81,0.22,0.4,0.1,0.83
197,Meyers Leonard,MIA,C,0.6072607260726073,0.29726853494146854,0.2831029870708872,0.5925925925925926,0.641025641025641,0.4476275738585497,0.21259541984732827,0.24353120243531207,0.18525519848771266,0.31,0.42,0.46,0.21,0.21,0.09,0.07,0.22,0.55,0.44,0.16,0.05,0.11,0.23,0.65,0.27
198,Caris LeVert,BRK,SG,0.38613861386138615,0.6140475345867328,0.37137761925991974,0.3333333333333335,0.4615384615384615,0.2018800358102059,0.49694656488549616,0.20243531202435314,0.2684310018903592,0.61,0.36,0.46,0.48,0.53,0.28,0.33,0.18,0.24,0.21,0.44,0.57,0.11,0.51,0.25,0.47
199,Damian Lillard,POR,PG,0.900990099009901,0.9826179496275275,0.8212215782434241,0.5555555555555555,0.5512820512820512,0.16159355416293644,0.7988549618320611,0.8721461187214612,0.3534971644612477,0.88,0.64,0.74,0.55,0.6,0.68,0.64,0.1,0.22,0.17,0.63,0.33,0.11,0.53,0.1,0.83
200,Kevon Looney,GSW,C,0.42244224422442245,0.1933309684285207,0.4048149799375836,0.5185185185185185,0.07692307692307691,0.5174574753804835,0.13511450381679385,0.3188736681887367,0.2514177693761815,0.19,0.0,0.04,0.45,0.4,0.15,0.2,0.76,0.38,0.52,0.2,0.48,0.44,0.19,0.69,0.22
201,Brook Lopez,MIL,C,0.9075907590759076,0.7080525008868394,0.5202853321444495,0.48148148148148134,0.48717948717948717,0.2999104744852283,0.5076335877862596,0.3614916286149163,0.5425330812854442,0.63,0.36,0.46,0.56,0.55,0.34,0.36,0.27,0.35,0.32,0.15,0.24,0.67,0.35,0.37,0.55
202,Robin Lopez,MIL,C,0.8943894389438944,0.5445193330968428,0.39144003566651814,0.4444444444444447,0.10256410256410256,0.35810205908683973,0.3225190839694656,0.29832572298325727,0.3119092627599244,0.4,0.04,0.05,0.62,0.62,0.16,0.15,0.65,0.26,0.39,0.11,0.0,0.47,0.35,0.25,0.33
203,Kevin Love,CLE,PF,0.5874587458745875,0.7786449095423909,0.627730717788676,0.5185185185185185,0.6025641025641025,0.692927484333035,0.5732824427480916,0.44901065449010663,0.4423440453686201,0.62,0.54,0.63,0.35,0.41,0.48,0.46,0.37,0.81,0.68,0.21,0.24,0.14,0.44,0.2,0.58
204,Kyle Lowry,TOR,PG,0.7986798679867987,0.9496275274920184,0.6197057512260365,0.5555555555555555,0.717948717948718,0.21575649059982097,0.5133587786259541,0.634703196347032,0.6068052930056711,0.52,0.6,0.66,0.25,0.28,0.44,0.44,0.1,0.28,0.21,0.68,0.57,0.11,0.56,0.27,0.52
205,Timothe Luwawu-Cabarrot,BRK,SG,0.40264026402640263,0.27172756296559064,0.10387873383860902,0.3333333333333335,0.6794871794871795,0.16562220232766336,0.2893129770992366,0.17503805175038056,0.13610586011342155,0.37,0.4,0.52,0.18,0.23,0.27,0.25,0.14,0.22,0.17,0.11,0.29,0.06,0.3,0.61,0.3
206,Trey Lyles,SAS,PF,0.8415841584158416,0.33806314295849593,0.31297369594293356,0.3333333333333335,0.5256410256410255,0.4476275738585497,0.37824427480916034,0.21308980213089804,0.2835538752362949,0.46,0.36,0.45,0.34,0.37,0.17,0.2,0.27,0.53,0.43,0.15,0.24,0.22,0.26,0.31,0.35
207,Ian Mahinmi,WAS,C,0.5115511551155115,0.3806314295849592,0.35755684351315203,0.5185185185185185,0.05128205128205128,0.5358102059086839,0.20687022900763358,0.25875190258751907,0.33081285444234404,0.18,0.0,0.03,0.42,0.4,0.28,0.39,0.63,0.5,0.53,0.12,0.57,0.42,0.4,0.78,0.25
208,Thon Maker,DET,C,0.5247524752475248,0.19262149698474634,0.2813196611680785,0.37037037037037057,0.5256410256410255,0.37242614145031333,0.23435114503816798,0.19786910197869104,0.1720226843100189,0.27,0.26,0.34,0.21,0.25,0.23,0.28,0.37,0.36,0.36,0.09,0.33,0.5,0.19,0.65,0.25
209,Boban Marjanovic,DAL,C,0.44224422442244227,0.04469670095778644,0.9170753455193937,0.7407407407407409,0.02564102564102564,0.8791405550581917,0.5950381679389313,0.25875190258751907,0.13988657844990549,0.58,0.0,0.03,0.92,0.83,0.6,0.68,0.98,0.83,0.88,0.12,0.19,0.42,0.49,0.61,0.68
210,Lauri Markkanen,CHI,PF,0.24422442244224424,0.7829017382050372,0.43468568880963,0.4074074074074076,0.6025641025641025,0.46508504923903315,0.4954198473282443,0.2640791476407915,0.31568998109640833,0.62,0.52,0.63,0.37,0.41,0.32,0.29,0.25,0.57,0.47,0.08,0.24,0.19,0.3,0.16,0.51
211,Wesley Matthews,MIL,SG,0.8382838283828383,0.8137637460092232,0.2064199732501115,0.37037037037037057,0.782051282051282,0.09131602506714416,0.2786259541984733,0.2442922374429224,0.3459357277882798,0.38,0.5,0.6,0.12,0.17,0.16,0.16,0.06,0.15,0.08,0.19,0.33,0.06,0.19,0.2,0.29
212,Luc Mbah a Moute,HOU,PF,0.41914191419141916,0.4487406881873004,0.14177440927329468,0.4074074074074076,0.41025641025641024,0.14726947179946287,0.06183206106870226,0.2153729071537291,0.332703213610586,0.11,0.18,0.23,0.19,0.19,0.1,0.13,0.16,0.16,0.14,0.03,0.57,0.19,0.16,0.24,0.13
213,Patrick McCaw,TOR,SF,0.3234323432343234,0.31003902092940755,0.08649130628622383,0.2592592592592593,0.5641025641025641,0.09668755595344676,0.06297709923664124,0.17199391171993916,0.20226843100189038,0.12,0.2,0.29,0.12,0.15,0.06,0.04,0.08,0.12,0.08,0.23,0.57,0.11,0.19,0.22,0.09
214,CJ McCollum,POR,SG,0.9405940594059405,0.9496275274920184,0.5274186357556845,0.4074074074074076,0.4358974358974359,0.12220232766338407,0.6442748091603053,0.49391171993911726,0.3383742911153119,0.82,0.5,0.55,0.61,0.7,0.26,0.25,0.1,0.17,0.12,0.32,0.29,0.11,0.35,0.22,0.65
215,TJ McConnell,IND,PG,0.9537953795379538,0.4586732884001419,0.3637984841729826,0.3333333333333335,0.15384615384615383,0.18666069829901522,0.22366412213740455,0.2534246575342466,0.3856332703213611,0.27,0.06,0.1,0.41,0.44,0.06,0.04,0.12,0.24,0.18,0.74,0.81,0.08,0.51,0.2,0.19
216,Doug McDermott,IND,PF,0.9174917491749175,0.44377438808087966,0.2501114578689255,0.5555555555555555,0.5769230769230769,0.126230975828111,0.27404580152671754,0.2823439878234399,0.16068052930056712,0.41,0.44,0.48,0.29,0.3,0.14,0.11,0.1,0.17,0.12,0.08,0.0,0.06,0.12,0.24,0.35
217,JaVale McGee,LAL,C,0.735973597359736,0.20219936147570056,0.7168970129291129,0.7037037037037038,0.02564102564102564,0.657117278424351,0.3874045801526717,0.317351598173516,0.3648393194706995,0.46,0.0,0.03,0.88,0.71,0.19,0.29,0.8,0.59,0.68,0.03,0.33,0.83,0.35,0.67,0.49
218,Rodney McGruder,LAC,SG,0.40264026402640263,0.4618659098971266,0.1283994650022292,0.2592592592592593,0.6153846153846153,0.2148612354521039,0.1194656488549618,0.2031963470319635,0.2835538752362949,0.22,0.3,0.38,0.14,0.18,0.06,0.07,0.25,0.21,0.21,0.15,0.24,0.08,0.16,0.25,0.16
219,Alfonzo McKinnie,CLE,SF,0.09900990099009901,0.16353316778999644,0.19393669193045027,0.4074074074074076,0.5512820512820512,0.38495971351835273,0.18664122137404582,0.20700152207001526,0.13610586011342155,0.29,0.28,0.36,0.27,0.25,0.09,0.13,0.45,0.39,0.41,0.04,0.24,0.14,0.21,0.65,0.23
220,Ben McLemore,HOU,SG,0.5907590759075908,0.4068818730046115,0.1836825679893001,0.4444444444444447,0.6923076923076923,0.13070725156669652,0.3240458015267175,0.19101978691019791,0.1550094517958412,0.41,0.5,0.58,0.2,0.24,0.15,0.16,0.1,0.16,0.12,0.09,0.38,0.11,0.3,0.47,0.34
221,Jordan McRae,DET,SG,0.0891089108910891,0.18836466832209997,0.3120820329915292,0.2962962962962964,0.41025641025641024,0.16965085049239034,0.4778625954198473,0.17123287671232879,0.054820415879017016,0.62,0.36,0.43,0.45,0.56,0.35,0.38,0.12,0.26,0.18,0.31,0.33,0.14,0.3,0.33,0.48
222,De'Anthony Melton,MEM,PG,0.0462046204620462,0.3926924441291238,0.26437806509139544,0.18518518518518517,0.4615384615384615,0.25693822739480754,0.2912213740458015,0.13622526636225268,0.2627599243856333,0.34,0.22,0.34,0.25,0.33,0.17,0.2,0.18,0.32,0.26,0.49,1.0,0.19,0.49,0.45,0.23
223,Khris Middleton,MIL,SF,0.768976897689769,0.8818730046115645,0.5171645118145342,0.5185185185185185,0.4487179487179487,0.24127126230975832,0.566030534351145,0.44063926940639275,0.500945179584121,0.65,0.44,0.49,0.51,0.56,0.38,0.35,0.08,0.34,0.24,0.38,0.52,0.06,0.47,0.27,0.57
224,CJ Miles,WAS,SG,0.5841584158415841,0.42603760198651996,0.29514043691484626,0.4074074074074076,0.8461538461538461,0.15443151298119964,0.41335877862595416,0.2625570776255708,0.27221172022684315,0.56,0.7,0.84,0.15,0.19,0.2,0.19,0.06,0.21,0.14,0.07,0.38,0.14,0.16,0.37,0.45
225,Patty Mills,SAS,PG,0.9735973597359736,0.5079815537424619,0.3544360231832368,0.48148148148148134,0.7564102564102564,0.07162041181736796,0.36145038167938925,0.33637747336377477,0.3534971644612477,0.46,0.6,0.66,0.18,0.21,0.15,0.13,0.06,0.1,0.06,0.38,0.38,0.06,0.28,0.2,0.38
226,Paul Millsap,DEN,PF,0.7029702970297029,0.7630365377793543,0.5599643334819437,0.4444444444444447,0.3205128205128205,0.4749328558639212,0.4812977099236641,0.3805175038051751,0.6691871455576559,0.52,0.24,0.3,0.52,0.57,0.42,0.47,0.43,0.49,0.48,0.26,0.62,0.36,0.42,0.39,0.48
227,Donovan Mitchell,UTA,SG,0.42574257425742573,0.8974813763746009,0.516718680338832,0.37037037037037057,0.47435897435897434,0.16159355416293644,0.7946564885496183,0.3059360730593607,0.6389413988657845,0.91,0.52,0.63,0.64,0.72,0.41,0.42,0.1,0.19,0.16,0.37,0.52,0.08,0.56,0.27,0.73
228,Malik Monk,CHO,SG,0.31353135313531355,0.30862007804185876,0.2501114578689255,0.2592592592592593,0.6666666666666666,0.11951656222023278,0.5553435114503817,0.13774733637747338,0.1342155009451796,0.68,0.54,0.75,0.34,0.4,0.23,0.21,0.08,0.17,0.13,0.3,0.24,0.11,0.42,0.25,0.48
229,E'Twaun Moore,NOP,SG,0.7491749174917491,0.5945370698829371,0.2585822559072671,0.4074074074074076,0.4358974358974359,0.09489704565801256,0.2881679389312977,0.26636225266362257,0.23251417769376181,0.43,0.34,0.37,0.37,0.4,0.07,0.07,0.1,0.12,0.09,0.23,0.33,0.11,0.21,0.25,0.33
230,Marcus Morris,LAC,SF-PF,0.8382838283828383,0.8034764100744944,0.33704859563085154,0.37037037037037057,0.5,0.27529095792300806,0.42022900763358784,0.30136986301369867,0.41965973534971646,0.52,0.4,0.46,0.37,0.44,0.27,0.28,0.2,0.33,0.27,0.14,0.24,0.08,0.26,0.25,0.43
231,Markieff Morris,LAL,PF,0.768976897689769,0.6080170273146506,0.3004904146232724,0.37037037037037057,0.41025641025641024,0.37600716204118173,0.4225190839694657,0.2062404870624049,0.2835538752362949,0.52,0.3,0.37,0.44,0.5,0.22,0.22,0.25,0.43,0.37,0.18,0.38,0.19,0.4,0.53,0.41
232,Monte Morris,DEN,PG,0.20462046204620463,0.5143667967364314,0.4404814979937584,0.48148148148148134,0.3974358974358974,0.08683974932855863,0.28854961832061066,0.4284627092846271,0.29111531190926276,0.45,0.32,0.34,0.42,0.44,0.12,0.11,0.08,0.12,0.08,0.49,0.48,0.06,0.14,0.06,0.36
233,Emmanuel Mudiay,UTA,PG,0.6732673267326733,0.5477119545938276,0.2670530539456086,0.18518518518518517,0.358974358974359,0.17054610564010744,0.5580152671755726,0.09665144596651447,0.15689981096408318,0.62,0.28,0.37,0.46,0.6,0.3,0.33,0.12,0.22,0.16,0.52,0.38,0.14,0.65,0.2,0.42
234,Dejounte Murray,SAS,PG,0.29372937293729373,0.41858815182688897,0.3758359340169416,0.22222222222222224,0.16666666666666666,0.41136974037600715,0.44465648854961826,0.16590563165905634,0.45368620037807184,0.48,0.1,0.14,0.52,0.63,0.2,0.22,0.31,0.5,0.44,0.47,0.86,0.14,0.53,0.31,0.33
235,Jamal Murray,DEN,PG,0.6633663366336634,0.7360766229159276,0.4146232724030317,0.4074074074074076,0.5128205128205129,0.16517457475380484,0.5274809160305344,0.35768645357686457,0.2835538752362949,0.66,0.44,0.55,0.46,0.51,0.28,0.26,0.16,0.19,0.16,0.4,0.38,0.11,0.42,0.18,0.53
236,Mike Muscala,OKC,C,0.6534653465346535,0.2710180915218163,0.32322781988408383,0.5185185185185185,0.641025641025641,0.34735899731423453,0.2145038167938931,0.2442922374429224,0.20793950850661627,0.3,0.4,0.47,0.2,0.19,0.17,0.14,0.31,0.38,0.35,0.15,0.29,0.31,0.19,0.39,0.28
237,Abdel Nader,OKC,SF,0.22442244224422442,0.14969847463639585,0.11725367810967458,0.2962962962962964,0.5897435897435898,0.19874664279319604,0.25419847328244277,0.15220700152207003,0.1833648393194707,0.33,0.34,0.44,0.21,0.25,0.16,0.2,0.08,0.27,0.21,0.07,0.38,0.25,0.28,0.39,0.27
238,Larry Nance,CLE,C,0.7227722772277227,0.5321035828307911,0.49710209540793576,0.5185185185185185,0.1794871794871795,0.554610564010743,0.18587786259541983,0.33257229832572305,0.25897920604914937,0.26,0.1,0.13,0.45,0.4,0.14,0.17,0.59,0.53,0.55,0.22,0.71,0.22,0.23,0.41,0.25
239,Shabazz Napier,WAS,PG,0.6534653465346535,0.2993969492727918,0.3312527864467231,0.3333333333333335,0.6282051282051282,0.12488809310653538,0.4248091603053435,0.2001522070015221,0.19848771266540643,0.47,0.42,0.56,0.24,0.3,0.33,0.32,0.08,0.18,0.13,0.45,0.67,0.06,0.53,0.18,0.39
240,Raul Neto,PHI,PG,0.5181518151815182,0.1876551968783256,0.25144895229603215,0.37037037037037057,0.47435897435897434,0.10026857654431512,0.3022900763358778,0.18417047184170474,0.19281663516068054,0.32,0.32,0.34,0.29,0.32,0.15,0.15,0.06,0.14,0.09,0.44,0.48,0.08,0.49,0.33,0.27
241,Georges Niang,UTA,PF,0.20132013201320131,0.05250088683930473,0.19705751226036558,0.37037037037037057,0.7435897435897435,0.2672336615935541,0.3213740458015267,0.20700152207001526,0.13610586011342155,0.44,0.64,0.69,0.18,0.18,0.09,0.05,0.1,0.31,0.23,0.15,0.19,0.11,0.21,0.35,0.36
242,Joakim Noah,LAC,C,0.10891089108910891,0.36821567931890736,0.4453856442264824,0.22222222222222224,0.01282051282051282,0.7735004476275739,0.23053435114503815,0.21156773211567736,0.223062381852552,0.18,0.0,0.0,0.36,0.42,0.2,0.3,0.9,0.73,0.8,0.4,0.38,0.42,0.47,0.63,0.16
243,Nerlens Noel,OKC,C,0.6270627062706271,0.40191557289819074,0.5679893000445833,0.6296296296296297,0.0,0.5707251566696508,0.2374045801526718,0.26331811263318117,0.41587901701323254,0.27,0.0,0.0,0.56,0.52,0.24,0.29,0.61,0.54,0.57,0.11,0.9,0.67,0.4,0.61,0.3
244,Frank Ntilikina,NYK,PG,0.2706270627062706,0.45583540262504424,0.07891217119928669,0.03703703703703708,0.47435897435897434,0.1078782452999105,0.25534351145038175,0.07153729071537293,0.17580340264650282,0.32,0.24,0.34,0.2,0.32,0.1,0.09,0.1,0.15,0.11,0.46,0.52,0.14,0.44,0.53,0.16
245,Jusuf Nurkic,POR,C,0.528052805280528,0.5658034764100744,0.6049933125278645,0.3333333333333335,0.02564102564102564,0.7041181736794987,0.5938931297709923,0.26864535768645365,0.4858223062381853,0.61,0.0,0.03,0.82,0.86,0.4,0.5,0.71,0.7,0.72,0.26,0.48,0.58,0.63,0.63,0.53
246,David Nwaba,BRK,SF,0.2145214521452145,0.4253281305427456,0.29380294248773964,0.48148148148148134,0.25641025641025644,0.2958818263205013,0.19007633587786263,0.2321156773211568,0.166351606805293,0.22,0.1,0.16,0.35,0.36,0.26,0.33,0.31,0.31,0.3,0.12,0.43,0.19,0.21,0.45,0.24
247,Royce O'Neale,UTA,PF,0.4158415841584158,0.4774742816601632,0.168970129291128,0.48148148148148134,0.6794871794871795,0.3263205013428827,0.07671755725190839,0.2351598173515982,0.44990548204158787,0.12,0.3,0.34,0.09,0.09,0.08,0.07,0.06,0.46,0.32,0.24,0.43,0.14,0.19,0.43,0.12
248,Kyle O'Quinn,PHI,C,0.6567656765676567,0.1880099326002128,0.57958091841284,0.4444444444444447,0.10256410256410256,0.7005371530886302,0.3480916030534352,0.27092846270928467,0.29867674858223064,0.38,0.06,0.07,0.57,0.58,0.2,0.23,0.69,0.69,0.7,0.33,0.33,0.72,0.49,0.75,0.33
249,Semi Ojeleye,BOS,PF,0.33663366336633666,0.19262149698474634,0.037895675434685715,0.2962962962962964,0.8076923076923077,0.20725156669650854,0.03931297709923662,0.17960426179604266,0.20226843100189038,0.09,0.32,0.38,0.02,0.04,0.08,0.1,0.16,0.23,0.21,0.03,0.24,0.08,0.07,0.27,0.08
250,Jahlil Okafor,NOP,C,0.40924092409240925,0.4214260376019865,0.4814979937583594,0.5185185185185185,0.01282051282051282,0.4655326768128917,0.5011450381679389,0.2077625570776256,0.16446124763705103,0.62,0.0,0.02,0.9,0.87,0.28,0.36,0.51,0.44,0.46,0.11,0.1,0.44,0.49,0.49,0.53
251,Elie Okobo,PHO,PG,0.039603960396039604,0.25008868393047173,0.14266607222469913,0.22222222222222224,0.5384615384615384,0.1450313339301701,0.2374045801526718,0.15296803652968038,0.08506616257088846,0.29,0.28,0.38,0.19,0.25,0.18,0.2,0.1,0.19,0.12,0.45,0.43,0.06,0.42,0.41,0.2
252,Josh Okogie,MIN,SG,0.132013201320132,0.5608371763036537,0.19750334373606776,0.2962962962962964,0.5256410256410255,0.2090420769919427,0.21374045801526717,0.18721461187214614,0.26654064272211725,0.28,0.2,0.35,0.21,0.25,0.31,0.33,0.22,0.23,0.22,0.14,0.62,0.17,0.26,0.37,0.24
253,Victor Oladipo,IND,SG,0.570957095709571,0.8634267470734303,0.5135978600089166,0.37037037037037057,0.4358974358974359,0.2291853178155774,0.6030534351145038,0.32876712328767127,0.5311909262759924,0.7,0.4,0.5,0.54,0.6,0.32,0.34,0.1,0.3,0.22,0.36,0.76,0.14,0.47,0.22,0.56
254,Kelly Olynyk,MIA,C,0.8910891089108911,0.45760908123448024,0.43513152028533214,0.5925925925925926,0.6025641025641025,0.4131602506714414,0.3721374045801527,0.33257229832572305,0.4347826086956522,0.43,0.44,0.5,0.32,0.3,0.25,0.26,0.29,0.48,0.41,0.28,0.43,0.19,0.44,0.59,0.42
255,Cedi Osman,CLE,SF,0.34983498349834985,0.5817665838949981,0.23004904146232724,0.4074074074074076,0.6153846153846153,0.23052820053715312,0.28320610687022896,0.22983257229832574,0.09262759924385633,0.39,0.4,0.49,0.24,0.27,0.15,0.17,0.1,0.27,0.21,0.21,0.33,0.03,0.28,0.31,0.31
256,Kelly Oubre,PHO,SF,0.8316831683168316,0.5530329904221355,0.2576905929558627,0.3333333333333335,0.5256410256410255,0.2990152193375112,0.3629770992366413,0.21765601217656017,0.29678638941398866,0.49,0.36,0.48,0.35,0.39,0.28,0.31,0.2,0.33,0.28,0.06,0.48,0.19,0.23,0.49,0.41
257,Jabari Parker,SAC,PF,0.5412541254125413,0.7250798155374246,0.47837717342844405,0.4074074074074076,0.24358974358974358,0.3728737690241719,0.5389312977099238,0.2625570776255708,0.20226843100189038,0.62,0.2,0.25,0.7,0.7,0.27,0.3,0.33,0.38,0.35,0.2,0.38,0.14,0.4,0.25,0.51
258,Chandler Parsons,ATL,SF,0.2145214521452145,0.5175594182334161,0.28399465002229163,0.3333333333333335,0.5769230769230769,0.2170993733213966,0.36679389312977095,0.23135464231354644,0.19659735349716448,0.44,0.4,0.49,0.31,0.34,0.15,0.16,0.06,0.31,0.21,0.27,0.38,0.14,0.33,0.24,0.35
259,Patrick Patterson,LAC,PF,0.8316831683168316,0.36431358637814826,0.1903700401248328,0.37037037037037057,0.8333333333333334,0.2846911369740376,0.1072519083969466,0.2503805175038052,0.27977315689981097,0.21,0.42,0.49,0.05,0.07,0.08,0.05,0.22,0.32,0.28,0.1,0.33,0.17,0.12,0.18,0.16
260,Chris Paul,OKC,PG,0.7425742574257426,0.8322100035473572,0.7931341952741864,0.5555555555555555,0.5,0.2363473589973142,0.5648854961832062,0.6971080669710807,0.555765595463138,0.6,0.46,0.51,0.45,0.48,0.43,0.39,0.1,0.31,0.23,0.91,0.81,0.06,0.51,0.25,0.57
261,Cameron Payne,PHO,PG,0.2145214521452145,0.2802412202908832,0.24342398573339283,0.18518518518518517,0.5256410256410255,0.14413607878245302,0.3778625954198473,0.17427701674277019,0.1058601134215501,0.49,0.4,0.48,0.3,0.39,0.09,0.07,0.1,0.19,0.14,0.49,0.57,0.11,0.4,0.41,0.3
262,Elfrid Payton,NYK,PG,0.6897689768976898,0.7296913799219581,0.4342398573339278,0.22222222222222224,0.20512820512820512,0.2314234556848702,0.4179389312977099,0.24657534246575347,0.28733459357277885,0.46,0.12,0.18,0.52,0.58,0.18,0.24,0.24,0.26,0.23,0.78,0.57,0.14,0.58,0.24,0.33
263,Mason Plumlee,DEN,C,0.9372937293729373,0.4888258247605534,0.5251894783771734,0.5185185185185185,0.01282051282051282,0.5837063563115488,0.2858778625954198,0.3493150684931507,0.41209829867674863,0.25,0.0,0.02,0.52,0.49,0.3,0.44,0.59,0.56,0.58,0.39,0.48,0.44,0.49,0.61,0.3
264,Jakob Poeltl,SAS,C,0.6039603960396039,0.28343384178786796,0.5104770396790013,0.7037037037037038,0.0,0.5819158460161146,0.14389312977099236,0.3592085235920853,0.332703213610586,0.18,0.0,0.0,0.51,0.42,0.11,0.2,0.82,0.45,0.58,0.15,0.29,0.61,0.28,0.63,0.24
265,Otto Porter,CHI,SF,0.6798679867986799,0.7946080170273145,0.4716897012929114,0.5555555555555555,0.5,0.3316920322291853,0.28854961832061066,0.4573820395738204,0.48015122873345933,0.43,0.4,0.42,0.37,0.37,0.14,0.13,0.25,0.36,0.32,0.14,0.62,0.17,0.12,0.2,0.38
266,Bobby Portis,NYK,C,0.7227722772277227,0.4239091876551968,0.44583147570218457,0.3333333333333335,0.3205128205128205,0.5586392121754701,0.4858778625954199,0.23363774733637752,0.23629489603024575,0.65,0.32,0.37,0.59,0.64,0.18,0.2,0.55,0.57,0.57,0.14,0.29,0.14,0.33,0.35,0.48
