,Name,Height (ft),Height (cm)
381,Khem Birch,6.9,205.74
382,Amile Jefferson,6.9,205.74
383,Mo Bamba,7.0,213.36
384,Raul Neto,6.1,185.42
385,Norvel Pelle,6.10,208.28
386,Ben Simmons,6.10,208.28
387,Zhaire Smith,6.3,190.5
388,Shake Milton,6.5,195.58
389,Matisse Thybulle,6.5,195.58
390,Marial Shayok,6.5,195.58
391,Josh Richardson,6.5,195.58
392,Ryan Broekhoff,6.6,198.12
393,Glenn Robinson III,6.6,198.12
394,Alec Burks,6.6,198.12
395,Mike Scott,6.7,200.66
396,Furkan Korkmaz,6.7,200.66
397,Tobias Harris,6.8,203.2
398,Kyle O’Quinn,6.9,205.74
399,Al Horford,6.9,205.74
400,Joel Embiid,7.0,213.36
401,Jevon Carter,6.1,185.42
402,Cameron Payne,6.1,185.42
403,Tariq Owens,6.10,208.28
404,Dario Saric,6.10,208.28
405,Aron Baynes,6.10,208.28
406,Deandre Ayton,6.11,210.82
407,Ricky Rubio,6.3,190.5
408,Elie Okobo,6.3,190.5
409,Jalen Lecque,6.4,193.04
410,Ty Jerome,6.5,195.58
411,Devin Booker,6.5,195.58
412,Mikal Bridges,6.6,198.12
413,Kelly Oubre Jr.,6.7,200.66
414,Jonah Bolden,6.8,203.2
415,Cheick Diallo,6.8,203.2
416,Cameron Johnson,6.8,203.2
417,Frank Kaminsky,7.0,213.36
418,Zach Collins,6.11,210.82
419,Damian Lillard,6.2,187.96
420,CJ McCollum,6.3,190.5
421,Anfernee Simons,6.3,190.5
422,Nassir Little,6.5,195.58
423,Gary Trent Jr.,6.5,195.58
424,Trevor Ariza,6.8,203.2
425,Rodney Hood,6.8,203.2
426,Mario Hezonja,6.8,203.2
427,Jaylen Hoard,6.8,203.2
428,Carmelo Anthony,6.8,203.2
429,Wenyen Gabriel,6.9,205.74
430,Caleb Swanigan,6.9,205.74
431,Jusuf Nurkic,7.0,213.36
432,Hassan Whiteside,7.0,213.36
433,Moses Brown,7.2,218.44
434,Yogi Ferrell,6.0,182.88
435,Kyle Guy,6.1,185.42
436,Richaun Holmes,6.10,208.28
437,Nemanja Bjelica,6.10,208.28
438,Eric Mika,6.10,208.28
439,Marvin Bagley III,6.11,210.82
440,Harry Giles III,6.11,210.82
441,De’Aaron Fox,6.3,190.5
442,Cory Joseph,6.3,190.5
443,Kent Bazemore,6.4,193.04
444,Buddy Hield,6.4,193.04
445,DaQuan Jeffries,6.5,195.58
446,Bogdan Bogdanovic,6.6,198.12
447,Justin James,6.7,200.66
448,Jabari Parker,6.8,203.2
449,Harrison Barnes,6.8,203.2
450,Corey Brewer,6.9,205.74
451,Alex Len,7.0,213.36
452,Patty Mills,6.1,185.42
453,Luka Samanic,6.10,208.28
454,Tyler Zeller,6.11,210.82
455,LaMarcus Aldridge,6.11,210.82
456,Bryn Forbes,6.2,187.96
457,Quinndary Weatherspoon,6.3,190.5
458,Derrick White,6.4,193.04
459,Dejounte Murray,6.4,193.04
460,Marco Belinelli,6.5,195.58
461,Lonnie Walker IV,6.5,195.58
462,Keldon Johnson,6.5,195.58
463,DeMar DeRozan,6.6,198.12
464,Rudy Gay,6.8,203.2
465,Trey Lyles,6.9,205.74
466,Drew Eubanks,6.9,205.74
467,Chimezie Metu,6.9,205.74
468,Jakob Poeltl,7.1,215.9
469,Shamorie Ponds,6.0,182.88
470,Kyle Lowry,6.0,182.88
471,Fred VanVleet,6.1,185.42
472,Dewan Hernandez,6.10,208.28
473,Marc Gasol,6.11,210.82
474,Norman Powell,6.3,190.5
475,Terence Davis,6.4,193.04
476,Matt Thomas,6.4,193.04
477,Stanley Johnson,6.6,198.12
478,Rondae Hollis-Jefferson,6.6,198.12
479,Paul Watson,6.6,198.12
480,Patrick McCaw,6.7,200.66
481,Oshae Brissett,6.7,200.66
482,OG Anunoby,6.7,200.66
483,Malcolm Miller,6.7,200.66
484,Pascal Siakam,6.9,205.74
485,Chris Boucher,6.9,205.74
486,Serge Ibaka,7.0,213.36
487,Justin Wright-Foreman,6.0,182.88
488,Mike Conley,6.1,185.42
489,Donovan Mitchell,6.1,185.42
490,Tony Bradley,6.10,208.28
491,Nigel Williams-Goss,6.2,187.96
492,Rayjon Tucker,6.3,190.5
493,Emmanuel Mudiay,6.3,190.5
494,Royce O’Neale,6.4,193.04
495,Jordan Clarkson,6.4,193.04
496,Miye Oni,6.5,195.58
497,Jarrell Brantley,6.5,195.58
498,Stanton Kidd,6.6,198.12
499,Juwan Morgan,6.7,200.66
500,Joe Ingles,6.7,200.66
501,Georges Niang,6.7,200.66
502,Bojan Bogdanovic,6.8,203.2
503,Ed Davis,6.9,205.74
504,Rudy Gobert,7.1,215.9
505,Isaiah Thomas,5.9,175.26
506,Shabazz Napier,6.0,182.88
507,Ish Smith,6.0,182.88
508,Justin Robinson,6.1,185.42
509,Thomas Bryant,6.10,208.28
510,Davis Bertans,6.10,208.28
511,Moritz Wagner,6.11,210.82
512,Ian Mahinmi,6.11,210.82
513,Gary Payton II,6.3,190.5
514,Bradley Beal,6.3,190.5
515,Jerome Robinson,6.4,193.04
516,Jerian Grant,6.4,193.04
517,Garrison Mathews,6.5,195.58
518,Admiral Schofield,6.5,195.58
519,Troy Brown Jr.,6.6,198.12
520,CJ Miles,6.6,198.12
521,Rui Hachimura,6.8,203.2
522,Isaac Bonga,6.8,203.2
523,Johnathan Williams,6.9,205.74
524,Jarrod Uthoff,6.9,205.74
525,Anzejs Pasecniks,7.2,218.44
