,Player,Tm,Pos,G_x,MP_x,PER,TS%,3PAr,TRB%,USG%,TOV%,ORB%,G_y,MP_y,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
907,Allonzo Trier,NYK,PG,24,291,14.5,0.62,0.5,5.3,21.4,15.0,2.1,24,291,106,19,53,32,53,34,43,6,23,29,28,3,4,22,29,155
908,P.J. Tucker,HOU,PF,72,2467,8.3,0.5589999999999999,0.7020000000000001,10.1,8.7,13.9,4.7,72,2467,426,107,299,70,127,39,48,112,364,476,115,77,36,72,229,500
909,Rayjon Tucker,UTA,SG,20,161,9.7,0.584,0.395,6.8,16.6,13.1,2.1,20,161,43,3,17,17,26,19,23,3,17,20,5,1,1,8,10,62
910,Evan Turner,ATL,PG,19,251,6.8,0.424,0.075,8.2,16.4,26.2,3.4,19,251,67,0,5,25,62,12,14,8,30,38,38,9,8,26,20,62
911,Myles Turner,IND,C,62,1826,14.8,0.5660000000000001,0.426,12.2,17.9,11.4,5.2,62,1826,587,86,250,182,337,127,169,86,321,407,72,46,132,85,166,749
912,Jarrod Uthoff,TOT,SF,7,53,8.8,0.503,0.5,6.1,14.8,0.0,4.0,7,53,18,3,9,4,9,2,2,2,4,6,0,1,0,0,2,19
913,Jarrod Uthoff,TOT,SF,7,53,8.8,0.503,0.5,6.1,14.8,0.0,4.0,4,14,7,0,4,1,3,2,2,1,0,1,0,1,0,0,1,4
914,Jarrod Uthoff,TOT,SF,7,53,8.8,0.503,0.5,6.1,14.8,0.0,4.0,3,39,11,3,5,3,6,0,0,1,4,5,0,0,0,0,1,15
915,Jarrod Uthoff,TOT,SF,4,14,-0.1,0.254,0.5710000000000001,3.8,23.4,0.0,7.7,7,53,18,3,9,4,9,2,2,2,4,6,0,1,0,0,2,19
916,Jarrod Uthoff,TOT,SF,4,14,-0.1,0.254,0.5710000000000001,3.8,23.4,0.0,7.7,4,14,7,0,4,1,3,2,2,1,0,1,0,1,0,0,1,4
917,Jarrod Uthoff,TOT,SF,4,14,-0.1,0.254,0.5710000000000001,3.8,23.4,0.0,7.7,3,39,11,3,5,3,6,0,0,1,4,5,0,0,0,0,1,15
918,Jarrod Uthoff,TOT,SF,3,39,12.0,0.682,0.455,7.0,11.7,0.0,2.7,7,53,18,3,9,4,9,2,2,2,4,6,0,1,0,0,2,19
919,Jarrod Uthoff,TOT,SF,3,39,12.0,0.682,0.455,7.0,11.7,0.0,2.7,4,14,7,0,4,1,3,2,2,1,0,1,0,1,0,0,1,4
920,Jarrod Uthoff,TOT,SF,3,39,12.0,0.682,0.455,7.0,11.7,0.0,2.7,3,39,11,3,5,3,6,0,0,1,4,5,0,0,0,0,1,15
921,Jonas Valanciunas,MEM,C,70,1845,22.2,0.631,0.12300000000000001,22.5,21.5,13.3,12.4,70,1845,739,32,91,400,648,148,200,213,575,788,131,30,76,127,185,1044
922,Denzel Valentine,CHI,SF,36,488,13.0,0.511,0.578,8.4,23.3,9.8,1.9,36,488,237,46,137,51,100,6,8,9,65,74,43,26,6,26,51,246
923,Jarred Vanderbilt,TOT,SF-PF,11,46,7.6,0.6759999999999999,0.125,10.9,14.9,44.1,7.3,11,46,8,0,1,5,7,2,2,3,6,9,2,3,1,7,6,12
924,Jarred Vanderbilt,TOT,SF-PF,11,46,7.6,0.6759999999999999,0.125,10.9,14.9,44.1,7.3,9,41,7,0,0,5,7,0,0,3,5,8,2,3,1,7,6,10
925,Jarred Vanderbilt,TOT,SF-PF,11,46,7.6,0.6759999999999999,0.125,10.9,14.9,44.1,7.3,2,5,1,0,1,0,0,2,2,0,1,1,0,0,0,0,0,2
926,Jarred Vanderbilt,TOT,SF-PF,9,41,7.2,0.7140000000000001,0.0,10.9,14.8,50.0,8.2,11,46,8,0,1,5,7,2,2,3,6,9,2,3,1,7,6,12
