,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
204,Ian Mahinmi,WAS,C,0.5016835016835017,0.3768736616702355,0.35755684351315203,0.4999999999999999,0.05128205128205128,0.5260511882998172,0.20687022900763358,0.25875190258751907,0.33081285444234404,0.7368421052631576,0.18,0.0,0.03,0.42,0.4,0.28,0.39,0.63,0.5,0.53,0.12,0.57,0.42,0.4,0.78,0.25
205,Thon Maker,DET,C,0.5151515151515151,0.1877230549607423,0.2813196611680785,0.3461538461538463,0.5256410256410255,0.3592321755027423,0.23435114503816798,0.19786910197869104,0.1720226843100189,0.7894736842105264,0.27,0.26,0.34,0.21,0.25,0.23,0.28,0.37,0.36,0.36,0.09,0.33,0.5,0.19,0.65,0.25
206,Boban Marjanovic,DAL,C,0.43097643097643096,0.038900785153461806,0.9170753455193937,0.730769230769231,0.02564102564102564,0.876599634369287,0.5950381679389313,0.25875190258751907,0.13988657844990549,1.0,0.58,0.0,0.03,0.92,0.83,0.6,0.68,0.98,0.83,0.88,0.12,0.19,0.42,0.49,0.61,0.68
207,Lauri Markkanen,CHI,PF,0.22895622895622897,0.7815845824411134,0.43468568880963,0.3846153846153848,0.6025641025641025,0.45383912248628894,0.4954198473282443,0.2640791476407915,0.31568998109640833,0.7894736842105264,0.62,0.52,0.63,0.37,0.41,0.32,0.29,0.25,0.57,0.47,0.08,0.24,0.19,0.3,0.16,0.51
208,Wesley Matthews,MIL,SG,0.835016835016835,0.8126338329764454,0.2064199732501115,0.3461538461538463,0.782051282051282,0.07221206581352836,0.2786259541984733,0.2442922374429224,0.3459357277882798,0.3684210526315788,0.38,0.5,0.6,0.12,0.17,0.16,0.16,0.06,0.15,0.08,0.19,0.33,0.06,0.19,0.2,0.29
209,Luc Mbah a Moute,HOU,PF,0.4074074074074074,0.4453961456102783,0.14177440927329468,0.3846153846153848,0.41025641025641024,0.12934186471663622,0.06183206106870226,0.2153729071537291,0.332703213610586,0.5789473684210523,0.11,0.18,0.23,0.19,0.19,0.1,0.13,0.16,0.16,0.14,0.03,0.57,0.19,0.16,0.24,0.13
210,Patrick McCaw,TOR,SF,0.30976430976430974,0.30585296216987856,0.08649130628622383,0.2307692307692308,0.5641025641025641,0.07769652650822673,0.06297709923664124,0.17199391171993916,0.20226843100189038,0.5263157894736841,0.12,0.2,0.29,0.12,0.15,0.06,0.04,0.08,0.12,0.08,0.23,0.57,0.11,0.19,0.22,0.09
211,CJ McCollum,POR,SG,0.9393939393939394,0.9493219129193433,0.5274186357556845,0.3846153846153848,0.4358974358974359,0.10374771480804389,0.6442748091603053,0.49391171993911726,0.3383742911153119,0.31578947368421056,0.82,0.5,0.55,0.61,0.7,0.26,0.25,0.1,0.17,0.12,0.32,0.29,0.11,0.35,0.22,0.65
212,TJ McConnell,IND,PG,0.9528619528619529,0.4553890078515346,0.3637984841729826,0.3076923076923078,0.15384615384615383,0.16956124314442417,0.22366412213740455,0.2534246575342466,0.3856332703213611,0.21052631578947353,0.27,0.06,0.1,0.41,0.44,0.06,0.04,0.12,0.24,0.18,0.74,0.81,0.08,0.51,0.2,0.19
213,Doug McDermott,IND,PF,0.9158249158249159,0.44039971448965015,0.2501114578689255,0.5384615384615384,0.5769230769230769,0.10786106032906764,0.27404580152671754,0.2823439878234399,0.16068052930056712,0.5263157894736841,0.41,0.44,0.48,0.29,0.3,0.14,0.11,0.1,0.17,0.12,0.08,0.0,0.06,0.12,0.24,0.35
214,JaVale McGee,LAL,C,0.7306397306397306,0.1973590292648108,0.7168970129291129,0.6923076923076924,0.02564102564102564,0.6499085923217551,0.3874045801526717,0.317351598173516,0.3648393194706995,0.7894736842105264,0.46,0.0,0.03,0.88,0.71,0.19,0.29,0.8,0.59,0.68,0.03,0.33,0.83,0.35,0.67,0.49
215,Rodney McGruder,LAC,SG,0.39057239057239057,0.45860099928622405,0.1283994650022292,0.2307692307692308,0.6153846153846153,0.1983546617915905,0.1194656488549618,0.2031963470319635,0.2835538752362949,0.3684210526315788,0.22,0.3,0.38,0.14,0.18,0.06,0.07,0.25,0.21,0.21,0.15,0.24,0.08,0.16,0.25,0.16
