Player,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Isaiah Whitehead,0.33,0.09,0.09,0.24,0.23,0.12,0.14,0.02,0.15,0.12,0.33,0.09,0.15,0.37,0.24,0.32
Ish Smith,0.4,0.06,0.08,0.34,0.32,0.09,0.12,0.02,0.16,0.12,0.56,0.09,0.08,0.23,0.15,0.38
Ivan Rabb,0.29,0.0,0.01,0.36,0.28,0.12,0.17,0.1,0.29,0.29,0.2,0.06,0.15,0.22,0.26,0.36
Ivica Zubac,0.33,0.0,0.0,0.42,0.33,0.18,0.23,0.12,0.35,0.35,0.16,0.04,0.38,0.22,0.28,0.42
JJ Barea,0.44,0.19,0.18,0.28,0.27,0.11,0.13,0.01,0.15,0.11,0.68,0.06,0.0,0.33,0.12,0.45
JJ Hickson,0.35,0.0,0.0,0.41,0.35,0.21,0.47,0.09,0.32,0.3,0.16,0.1,0.25,0.22,0.23,0.43
JJ O'Brien,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.25,0.17,0.0,0.5,0.0,0.0,0.38,0.0
JJ Redick,0.41,0.28,0.22,0.2,0.19,0.19,0.21,0.01,0.11,0.08,0.21,0.05,0.02,0.18,0.13,0.52
JP Macura,0.5,0.0,0.22,0.38,0.28,0.0,0.0,0.0,0.25,0.17,0.33,0.0,0.0,0.0,0.0,0.3
JR Smith,0.31,0.21,0.2,0.11,0.11,0.03,0.05,0.01,0.12,0.09,0.17,0.09,0.06,0.11,0.18,0.31
Ja Morant,0.45,0.08,0.09,0.42,0.36,0.23,0.29,0.02,0.15,0.12,0.67,0.08,0.06,0.42,0.12,0.52
JaKarr Sampson,0.27,0.04,0.05,0.27,0.22,0.12,0.18,0.04,0.21,0.18,0.11,0.08,0.23,0.18,0.29,0.31
JaMychal Green,0.29,0.1,0.09,0.24,0.21,0.11,0.15,0.08,0.3,0.28,0.13,0.08,0.12,0.21,0.28,0.34
JaVale McGee,0.36,0.0,0.01,0.51,0.35,0.11,0.19,0.12,0.32,0.33,0.08,0.08,0.62,0.22,0.3,0.46
Jabari Bird,0.23,0.06,0.06,0.23,0.17,0.11,0.23,0.06,0.17,0.17,0.2,0.07,0.08,0.28,0.12,0.31
Jabari Parker,0.43,0.08,0.08,0.42,0.35,0.15,0.2,0.05,0.22,0.2,0.21,0.09,0.1,0.24,0.17,0.48
Jack Cooley,0.31,0.0,0.0,0.34,0.31,0.32,0.43,0.16,0.28,0.35,0.21,0.02,0.0,0.13,0.34,0.42
Jacob Evans,0.31,0.08,0.09,0.17,0.22,0.08,0.09,0.03,0.13,0.11,0.25,0.08,0.21,0.23,0.26,0.24
Jacob Pullen,0.35,0.0,0.15,0.34,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.32
Jacob Wiley,0.12,0.09,0.06,0.0,0.06,0.06,0.12,0.06,0.41,0.33,0.17,0.09,0.0,0.0,0.28,0.11
Jae Crowder,0.33,0.19,0.19,0.17,0.14,0.14,0.17,0.03,0.22,0.17,0.17,0.12,0.1,0.16,0.18,0.37
