Player,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Josh Reaves,0.31,0.0,0.07,0.26,0.26,0.14,0.14,0.03,0.11,0.11,0.33,0.0,0.0,0.0,0.39,0.26
Josh Richardson,0.34,0.15,0.14,0.21,0.2,0.11,0.14,0.02,0.12,0.11,0.27,0.11,0.17,0.2,0.18,0.37
Josh Smith,0.4,0.13,0.16,0.22,0.23,0.08,0.16,0.06,0.23,0.22,0.29,0.12,0.4,0.33,0.31,0.34
Jrue Holiday,0.46,0.13,0.14,0.37,0.32,0.14,0.19,0.02,0.15,0.13,0.57,0.13,0.15,0.33,0.16,0.49
Juan Hernangomez,0.26,0.14,0.14,0.14,0.12,0.11,0.15,0.05,0.24,0.21,0.13,0.08,0.08,0.12,0.17,0.3
Juan Toscano-Anderson,0.23,0.08,0.09,0.18,0.15,0.02,0.04,0.03,0.24,0.19,0.27,0.14,0.15,0.23,0.25,0.23
Julian Washburn,0.19,0.06,0.09,0.09,0.09,0.03,0.03,0.03,0.19,0.16,0.16,0.15,0.06,0.11,0.14,0.14
Julius Randle,0.42,0.04,0.05,0.43,0.37,0.24,0.33,0.08,0.35,0.31,0.28,0.08,0.12,0.34,0.24,0.5
Julyan Stone,0.08,0.11,0.08,0.0,0.0,0.0,0.03,0.0,0.24,0.17,0.41,0.08,0.1,0.16,0.27,0.1
Justin Anderson,0.34,0.13,0.17,0.21,0.18,0.14,0.18,0.04,0.22,0.19,0.15,0.09,0.17,0.18,0.21,0.36
Justin Hamilton,0.32,0.14,0.15,0.23,0.17,0.07,0.09,0.06,0.25,0.22,0.14,0.08,0.29,0.16,0.17,0.34
Justin Harper,0.34,0.28,0.24,0.11,0.1,0.02,0.05,0.02,0.09,0.1,0.07,0.03,0.0,0.39,0.16,0.34
Justin Holiday,0.31,0.18,0.18,0.13,0.13,0.08,0.11,0.02,0.17,0.13,0.17,0.13,0.15,0.16,0.15,0.32
Justin Jackson,0.3,0.13,0.14,0.19,0.15,0.06,0.08,0.02,0.16,0.13,0.14,0.06,0.08,0.08,0.14,0.3
Justin James,0.36,0.09,0.12,0.24,0.23,0.09,0.19,0.03,0.16,0.14,0.22,0.09,0.23,0.12,0.18,0.36
Justin Patton,0.39,0.06,0.13,0.29,0.26,0.04,0.07,0.06,0.25,0.22,0.32,0.17,0.0,0.14,0.46,0.3
Justin Robinson,0.24,0.16,0.11,0.08,0.15,0.0,0.0,0.02,0.11,0.11,0.42,0.0,0.15,0.22,0.08,0.23
Justin Wright-Foreman,0.45,0.13,0.22,0.24,0.22,0.14,0.18,0.0,0.16,0.11,0.46,0.13,0.0,0.29,0.24,0.39
Justise Winslow,0.3,0.08,0.08,0.22,0.22,0.08,0.13,0.04,0.23,0.19,0.27,0.09,0.1,0.21,0.2,0.29
Jusuf Nurkic,0.43,0.0,0.01,0.48,0.42,0.21,0.31,0.11,0.36,0.35,0.25,0.11,0.44,0.36,0.29,0.48
Juwan Morgan,0.19,0.05,0.06,0.21,0.14,0.03,0.06,0.08,0.21,0.22,0.13,0.0,0.12,0.19,0.32,0.24
KJ McDaniels,0.32,0.1,0.13,0.24,0.2,0.16,0.18,0.05,0.19,0.16,0.1,0.11,0.27,0.23,0.24,0.36
KZ Okpala,0.19,0.0,0.04,0.26,0.15,0.08,0.16,0.04,0.23,0.19,0.11,0.23,0.29,0.16,0.18,0.24
Kadeem Allen,0.32,0.1,0.09,0.23,0.23,0.18,0.23,0.02,0.13,0.11,0.48,0.11,0.1,0.27,0.23,0.37
Kalin Lucas,0.17,0.0,0.17,0.0,0.0,0.67,0.67,0.0,0.75,0.5,0.48,0.0,0.0,0.0,0.38,0.3
Karl-Anthony Towns,0.46,0.12,0.11,0.46,0.36,0.24,0.29,0.09,0.38,0.34,0.23,0.07,0.33,0.29,0.22,0.6
Kawhi Leonard,0.54,0.17,0.15,0.46,0.38,0.34,0.39,0.04,0.25,0.2,0.3,0.17,0.17,0.24,0.12,0.68
Kay Felder,0.43,0.06,0.08,0.29,0.35,0.18,0.24,0.01,0.15,0.11,0.4,0.13,0.08,0.36,0.2,0.38
Keita Bates-Diop,0.3,0.1,0.12,0.2,0.18,0.12,0.17,0.04,0.2,0.17,0.1,0.09,0.23,0.1,0.13,0.32
Keith Appling,0.3,0.0,0.11,0.17,0.19,0.15,0.15,0.0,0.05,0.04,0.1,0.11,0.0,0.44,0.42,0.2
Kelan Martin,0.36,0.14,0.19,0.21,0.17,0.12,0.12,0.02,0.25,0.19,0.13,0.04,0.15,0.16,0.22,0.36
Keldon Johnson,0.29,0.13,0.07,0.31,0.22,0.24,0.29,0.03,0.24,0.19,0.14,0.13,0.04,0.18,0.21,0.47
Kelly Olynyk,0.34,0.17,0.16,0.23,0.18,0.14,0.18,0.05,0.27,0.22,0.27,0.1,0.15,0.27,0.28,0.42
Kelly Oubre,0.37,0.14,0.15,0.24,0.22,0.16,0.21,0.03,0.2,0.17,0.1,0.11,0.15,0.17,0.24,0.41
Kemba Walker,0.52,0.24,0.22,0.31,0.29,0.25,0.3,0.02,0.15,0.11,0.45,0.11,0.08,0.26,0.1,0.6
Kendall Marshall,0.29,0.11,0.12,0.15,0.17,0.04,0.06,0.01,0.1,0.07,0.52,0.12,0.06,0.42,0.17,0.25
Kendrick Nunn,0.46,0.2,0.2,0.3,0.27,0.09,0.1,0.01,0.12,0.09,0.33,0.08,0.04,0.23,0.18,0.47
Kendrick Perkins,0.14,0.0,0.0,0.17,0.14,0.04,0.09,0.05,0.27,0.23,0.17,0.06,0.15,0.3,0.26,0.15
Kenneth Faried,0.35,0.0,0.01,0.44,0.34,0.18,0.27,0.14,0.31,0.34,0.12,0.07,0.25,0.19,0.23,0.43
Kenrich Williams,0.22,0.11,0.13,0.1,0.09,0.03,0.04,0.05,0.23,0.21,0.21,0.11,0.17,0.12,0.22,0.2
Kent Bazemore,0.36,0.15,0.15,0.22,0.21,0.14,0.18,0.02,0.2,0.16,0.26,0.15,0.17,0.28,0.21,0.39
Kentavious Caldwell-Pope,0.34,0.17,0.16,0.2,0.18,0.12,0.15,0.02,0.13,0.11,0.17,0.12,0.04,0.14,0.13,0.37
Kevin Durant,0.52,0.18,0.16,0.46,0.35,0.33,0.37,0.01,0.3,0.21,0.44,0.08,0.31,0.33,0.12,0.69
Kevin Garnett,0.21,0.0,0.0,0.22,0.21,0.06,0.08,0.03,0.37,0.27,0.31,0.14,0.15,0.11,0.28,0.2
Kevin Hervey,0.52,0.17,0.38,0.18,0.13,0.0,0.0,0.02,0.32,0.23,0.28,0.06,0.15,0.0,0.18,0.3
Kevin Huerter,0.33,0.2,0.18,0.16,0.15,0.05,0.06,0.02,0.15,0.12,0.33,0.09,0.1,0.21,0.17,0.34
Kevin Knox,0.4,0.17,0.17,0.2,0.23,0.13,0.19,0.02,0.2,0.16,0.12,0.07,0.12,0.19,0.19,0.38
Kevin Love,0.43,0.21,0.2,0.24,0.23,0.25,0.29,0.06,0.41,0.33,0.21,0.07,0.1,0.27,0.15,0.52
Kevin Martin,0.38,0.13,0.12,0.21,0.26,0.28,0.31,0.01,0.13,0.1,0.16,0.08,0.04,0.2,0.17,0.42
Kevin Porter,0.36,0.13,0.14,0.26,0.23,0.13,0.17,0.02,0.18,0.14,0.27,0.12,0.1,0.32,0.26,0.39
Kevin Seraphin,0.38,0.0,0.0,0.4,0.37,0.06,0.09,0.06,0.27,0.25,0.17,0.05,0.4,0.24,0.28,0.35
Kevon Looney,0.24,0.0,0.01,0.29,0.22,0.09,0.14,0.11,0.22,0.27,0.21,0.11,0.33,0.14,0.31,0.29
Khem Birch,0.2,0.0,0.0,0.25,0.2,0.16,0.23,0.11,0.25,0.28,0.17,0.08,0.25,0.13,0.24,0.27
Khris Middleton,0.44,0.17,0.16,0.32,0.29,0.2,0.23,0.02,0.21,0.16,0.35,0.12,0.04,0.28,0.18,0.52
Khyri Thomas,0.33,0.15,0.19,0.12,0.15,0.08,0.11,0.01,0.1,0.08,0.11,0.12,0.1,0.11,0.27,0.28
Kirk Hinrich,0.21,0.1,0.09,0.08,0.11,0.04,0.04,0.01,0.14,0.11,0.33,0.07,0.0,0.2,0.23,0.2
Klay Thompson,0.51,0.28,0.23,0.32,0.28,0.11,0.13,0.01,0.15,0.11,0.19,0.08,0.12,0.19,0.12,0.58
Kobe Bryant,0.6,0.21,0.25,0.32,0.35,0.25,0.31,0.02,0.17,0.13,0.29,0.09,0.06,0.29,0.14,0.57
Kobi Simmons,0.29,0.05,0.06,0.24,0.23,0.08,0.08,0.02,0.08,0.08,0.31,0.08,0.08,0.27,0.21,0.28
Kosta Koufos,0.29,0.0,0.0,0.36,0.29,0.06,0.11,0.1,0.31,0.31,0.13,0.08,0.25,0.16,0.27,0.31
Kostas Antetokounmpo,0.21,0.0,0.0,0.21,0.21,0.18,0.41,0.07,0.1,0.14,0.2,0.21,0.0,0.28,0.16,0.27
Kostas Papanikolaou,0.22,0.1,0.11,0.1,0.11,0.06,0.09,0.03,0.16,0.13,0.15,0.13,0.12,0.28,0.18,0.21
Kris Dunn,0.33,0.07,0.08,0.26,0.26,0.07,0.11,0.02,0.18,0.14,0.49,0.18,0.12,0.3,0.28,0.31
Kris Humphries,0.34,0.1,0.11,0.22,0.23,0.17,0.22,0.08,0.3,0.28,0.12,0.07,0.21,0.17,0.24,0.36
Kristaps Porzingis,0.49,0.16,0.16,0.36,0.33,0.22,0.28,0.06,0.29,0.24,0.13,0.07,0.48,0.22,0.23,0.54
Ky Bowman,0.31,0.09,0.11,0.22,0.21,0.07,0.08,0.02,0.15,0.12,0.37,0.13,0.06,0.28,0.23,0.3
Kyle Alexander,0.15,0.0,0.0,0.18,0.15,0.0,0.0,0.15,0.12,0.23,0.0,0.0,0.0,0.31,0.18,0.14
Kyle Anderson,0.22,0.03,0.04,0.23,0.19,0.09,0.13,0.03,0.25,0.2,0.29,0.15,0.23,0.18,0.16,0.25
Kyle Collinsworth,0.21,0.02,0.03,0.16,0.17,0.09,0.16,0.07,0.23,0.22,0.34,0.1,0.15,0.21,0.21,0.19
Kyle Guy,0.51,0.0,0.3,0.48,0.21,0.0,0.0,0.0,0.14,0.09,0.26,0.0,0.0,0.0,0.21,0.36
Kyle Korver,0.3,0.26,0.21,0.1,0.08,0.06,0.07,0.01,0.15,0.11,0.18,0.07,0.1,0.16,0.16,0.35
Kyle Kuzma,0.45,0.17,0.18,0.31,0.27,0.14,0.19,0.03,0.22,0.18,0.18,0.06,0.1,0.24,0.16,0.48
Kyle Lowry,0.39,0.24,0.21,0.19,0.17,0.23,0.28,0.02,0.18,0.14,0.58,0.12,0.08,0.32,0.18,0.48
Kyle O'Quinn,0.32,0.02,0.02,0.36,0.3,0.12,0.16,0.1,0.36,0.34,0.31,0.08,0.54,0.29,0.32,0.36
Kyle Singler,0.23,0.07,0.09,0.14,0.13,0.06,0.11,0.04,0.14,0.14,0.07,0.08,0.06,0.12,0.25,0.22
Kyle Wiltjer,0.32,0.28,0.29,0.0,0.03,0.07,0.07,0.1,0.19,0.22,0.1,0.19,0.25,0.51,0.22,0.27
Kyrie Irving,0.56,0.21,0.19,0.44,0.37,0.22,0.25,0.02,0.14,0.12,0.5,0.11,0.08,0.3,0.15,0.65
LaMarcus Aldridge,0.48,0.02,0.03,0.52,0.45,0.23,0.27,0.08,0.26,0.25,0.17,0.06,0.29,0.19,0.15,0.55
Lamar Patterson,0.22,0.08,0.13,0.08,0.09,0.07,0.11,0.01,0.18,0.13,0.29,0.06,0.0,0.26,0.27,0.19
Lance Stephenson,0.37,0.1,0.11,0.28,0.26,0.1,0.14,0.03,0.25,0.2,0.34,0.09,0.08,0.28,0.21,0.37
Lance Thomas,0.25,0.1,0.09,0.15,0.15,0.1,0.11,0.03,0.15,0.13,0.1,0.06,0.04,0.14,0.21,0.26
Landry Shamet,0.29,0.25,0.21,0.08,0.08,0.09,0.11,0.01,0.1,0.07,0.18,0.05,0.06,0.11,0.2,0.34
Langston Galloway,0.33,0.2,0.19,0.14,0.15,0.08,0.1,0.02,0.13,0.11,0.2,0.1,0.04,0.09,0.16,0.34
Larry Drew,0.34,0.12,0.13,0.13,0.21,0.0,0.0,0.04,0.0,0.04,0.4,0.0,0.0,0.17,0.19,0.22
Larry Nance,0.27,0.04,0.04,0.29,0.22,0.08,0.13,0.09,0.29,0.28,0.22,0.15,0.17,0.17,0.22,0.31
Larry Sanders,0.31,0.0,0.0,0.18,0.31,0.31,0.31,0.23,0.12,0.31,0.0,0.23,0.58,0.61,0.86,0.28
Lauri Markkanen,0.43,0.21,0.2,0.26,0.23,0.17,0.19,0.04,0.31,0.25,0.12,0.07,0.15,0.2,0.14,0.48
Lavoy Allen,0.22,0.0,0.0,0.24,0.22,0.06,0.09,0.11,0.23,0.26,0.16,0.05,0.21,0.16,0.21,0.22
LeBron James,0.52,0.13,0.14,0.51,0.39,0.26,0.37,0.03,0.29,0.23,0.68,0.11,0.15,0.42,0.11,0.66
Leandro Barbosa,0.37,0.1,0.1,0.3,0.27,0.09,0.11,0.02,0.13,0.11,0.23,0.12,0.04,0.19,0.21,0.38
London Perrantes,0.19,0.0,0.04,0.05,0.15,0.08,0.17,0.02,0.06,0.06,0.25,0.07,0.17,0.09,0.19,0.1
Lonnie Walker,0.37,0.12,0.11,0.26,0.26,0.1,0.13,0.02,0.18,0.14,0.2,0.11,0.1,0.17,0.18,0.36
Lonzo Ball,0.32,0.17,0.18,0.16,0.15,0.04,0.07,0.04,0.23,0.19,0.59,0.14,0.15,0.33,0.16,0.3
Lorenzo Brown,0.31,0.06,0.12,0.21,0.2,0.04,0.04,0.01,0.18,0.13,0.37,0.14,0.08,0.28,0.18,0.23
Lou Amundson,0.26,0.0,0.0,0.22,0.26,0.14,0.26,0.11,0.19,0.24,0.17,0.08,0.21,0.29,0.48,0.23
Lou Williams,0.49,0.18,0.18,0.32,0.31,0.37,0.43,0.02,0.12,0.09,0.44,0.09,0.06,0.34,0.11,0.61
Louis King,0.34,0.18,0.18,0.14,0.16,0.0,0.09,0.02,0.22,0.16,0.23,0.1,0.0,0.13,0.36,0.29
Luc Mbah a Moute,0.2,0.07,0.07,0.16,0.13,0.07,0.11,0.03,0.13,0.11,0.08,0.12,0.15,0.13,0.16,0.23
Lucas Nogueira,0.16,0.02,0.02,0.23,0.14,0.08,0.12,0.07,0.22,0.22,0.11,0.14,0.65,0.16,0.28,0.23
Luguentz Dort,0.27,0.1,0.12,0.16,0.14,0.11,0.13,0.03,0.1,0.1,0.1,0.12,0.04,0.1,0.27,0.27
Luis Montero,0.39,0.08,0.17,0.19,0.22,0.11,0.17,0.0,0.17,0.11,0.08,0.0,0.0,0.44,0.06,0.25
Luis Scola,0.36,0.1,0.1,0.28,0.26,0.08,0.12,0.06,0.26,0.24,0.13,0.08,0.12,0.19,0.26,0.37
Luka Doncic,0.56,0.21,0.24,0.38,0.32,0.36,0.48,0.04,0.33,0.26,0.63,0.09,0.06,0.47,0.15,0.68
Luka Samanic,0.33,0.17,0.17,0.1,0.17,0.12,0.16,0.02,0.28,0.21,0.36,0.0,0.33,0.18,0.28,0.3
Luke Babbitt,0.3,0.21,0.18,0.11,0.12,0.05,0.06,0.02,0.2,0.14,0.13,0.04,0.1,0.1,0.22,0.32
Luke Kennard,0.35,0.2,0.17,0.19,0.18,0.09,0.11,0.01,0.16,0.12,0.27,0.07,0.06,0.17,0.14,0.38
Luke Kornet,0.35,0.23,0.22,0.15,0.13,0.07,0.1,0.04,0.2,0.17,0.19,0.08,0.38,0.12,0.16,0.37
Luol Deng,0.3,0.1,0.11,0.22,0.19,0.1,0.13,0.04,0.22,0.19,0.15,0.1,0.1,0.13,0.11,0.32
Malachi Richardson,0.3,0.13,0.15,0.15,0.15,0.11,0.16,0.01,0.15,0.11,0.1,0.07,0.0,0.18,0.22,0.29
Malcolm Brogdon,0.38,0.13,0.12,0.3,0.26,0.14,0.16,0.03,0.16,0.13,0.44,0.09,0.06,0.23,0.15,0.43
Malcolm Delaney,0.3,0.1,0.1,0.18,0.2,0.13,0.17,0.01,0.13,0.1,0.45,0.1,0.04,0.29,0.19,0.29
Malcolm Miller,0.24,0.21,0.18,0.07,0.06,0.06,0.09,0.01,0.11,0.11,0.13,0.04,0.1,0.12,0.2,0.27
Malik Beasley,0.4,0.23,0.21,0.22,0.19,0.07,0.09,0.02,0.15,0.11,0.17,0.08,0.04,0.16,0.14,0.43
Malik Monk,0.45,0.21,0.24,0.24,0.22,0.13,0.15,0.02,0.14,0.11,0.29,0.07,0.08,0.26,0.17,0.45
Malik Newman,0.5,0.0,0.25,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45
Mangok Mathiang,0.36,0.0,0.0,0.45,0.36,0.0,0.08,0.16,0.54,0.5,0.0,0.12,0.0,0.0,0.54,0.36
Manny Harris,0.61,0.0,0.08,0.29,0.52,0.16,0.32,0.13,0.36,0.36,0.23,0.0,0.0,0.32,0.08,0.29
Manu Ginobili,0.36,0.17,0.16,0.21,0.2,0.16,0.18,0.02,0.15,0.12,0.4,0.16,0.08,0.33,0.21,0.4
MarShon Brooks,0.47,0.16,0.15,0.36,0.32,0.15,0.2,0.04,0.12,0.12,0.25,0.11,0.08,0.24,0.16,0.52
Marc Gasol,0.39,0.1,0.1,0.31,0.29,0.19,0.24,0.03,0.3,0.22,0.37,0.08,0.27,0.27,0.18,0.44
Marcelo Huertas,0.27,0.06,0.08,0.2,0.2,0.07,0.08,0.02,0.12,0.1,0.6,0.1,0.04,0.36,0.19,0.24
Marcin Gortat,0.28,0.0,0.0,0.36,0.28,0.11,0.15,0.09,0.35,0.32,0.16,0.06,0.23,0.21,0.2,0.34
Marco Belinelli,0.37,0.2,0.19,0.19,0.18,0.14,0.16,0.01,0.12,0.09,0.21,0.07,0.04,0.16,0.12,0.41
Marcus Derrickson,0.49,0.42,0.29,0.19,0.2,0.13,0.17,0.11,0.12,0.2,0.05,0.0,0.12,0.2,0.29,0.63
Marcus Georges-Hunt,0.21,0.05,0.07,0.16,0.14,0.17,0.24,0.03,0.1,0.09,0.1,0.05,0.0,0.07,0.31,0.25
Marcus Morris,0.39,0.16,0.15,0.26,0.24,0.15,0.19,0.03,0.2,0.17,0.17,0.07,0.06,0.18,0.17,0.42
Marcus Paige,0.5,0.21,0.29,0.16,0.21,0.14,0.14,0.0,0.21,0.14,0.31,0.0,0.0,0.0,0.0,0.39
Marcus Smart,0.31,0.14,0.16,0.14,0.15,0.14,0.17,0.03,0.14,0.12,0.42,0.17,0.1,0.24,0.2,0.32
Marcus Thornton,0.45,0.21,0.21,0.24,0.24,0.11,0.12,0.03,0.15,0.13,0.21,0.12,0.04,0.18,0.19,0.44
Marial Shayok,0.43,0.21,0.21,0.06,0.21,0.23,0.28,0.03,0.32,0.26,0.08,0.0,0.21,0.46,0.32,0.36
Mario Chalmers,0.32,0.1,0.12,0.21,0.19,0.24,0.28,0.01,0.15,0.11,0.44,0.18,0.06,0.32,0.29,0.37
Mario Hezonja,0.34,0.13,0.14,0.22,0.2,0.1,0.13,0.02,0.22,0.17,0.2,0.12,0.08,0.23,0.21,0.34
Markel Brown,0.33,0.11,0.12,0.21,0.2,0.14,0.18,0.02,0.16,0.12,0.26,0.12,0.1,0.21,0.22,0.33
Markelle Fultz,0.39,0.05,0.06,0.36,0.33,0.11,0.17,0.03,0.15,0.13,0.52,0.13,0.06,0.28,0.19,0.38
Markieff Morris,0.38,0.12,0.12,0.29,0.27,0.12,0.16,0.04,0.25,0.21,0.19,0.09,0.15,0.24,0.26,0.41
Marko Guduric,0.33,0.16,0.17,0.16,0.16,0.09,0.11,0.03,0.18,0.16,0.26,0.08,0.15,0.29,0.16,0.32
Marques Bolden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.0,1.0,0.0,0.0,0.75,0.0
Marquese Chriss,0.34,0.09,0.11,0.28,0.23,0.14,0.22,0.07,0.28,0.25,0.16,0.11,0.31,0.27,0.3,0.37
Marquis Teague,0.21,0.03,0.05,0.09,0.16,0.06,0.14,0.01,0.1,0.08,0.5,0.16,0.0,0.17,0.16,0.14
Marreese Speights,0.49,0.21,0.21,0.3,0.28,0.18,0.22,0.07,0.3,0.26,0.17,0.04,0.27,0.23,0.36,0.53
Marshall Plumlee,0.14,0.0,0.0,0.18,0.14,0.18,0.31,0.12,0.27,0.3,0.15,0.04,0.19,0.26,0.32,0.22
Marvin Bagley,0.46,0.06,0.06,0.47,0.4,0.21,0.31,0.1,0.3,0.3,0.11,0.06,0.27,0.23,0.19,0.53
Marvin Williams,0.3,0.17,0.16,0.16,0.14,0.09,0.11,0.04,0.24,0.2,0.13,0.09,0.19,0.1,0.14,0.33
Mason Plumlee,0.26,0.0,0.01,0.33,0.26,0.16,0.28,0.09,0.3,0.29,0.36,0.11,0.33,0.29,0.28,0.34
Matisse Thybulle,0.21,0.13,0.12,0.1,0.09,0.04,0.06,0.04,0.08,0.08,0.17,0.21,0.27,0.17,0.25,0.21
Matt Barnes,0.29,0.15,0.16,0.14,0.14,0.09,0.11,0.04,0.25,0.21,0.26,0.09,0.17,0.22,0.24,0.3
Matt Bonner,0.28,0.21,0.16,0.16,0.12,0.03,0.03,0.01,0.18,0.13,0.13,0.08,0.0,0.06,0.16,0.33
Matt Costello,0.12,0.0,0.0,0.14,0.12,0.0,0.0,0.02,0.38,0.28,0.17,0.18,0.46,0.1,0.51,0.11
Matt Mooney,0.21,0.0,0.11,0.09,0.11,0.0,0.0,0.0,0.25,0.17,0.12,0.32,0.31,0.0,0.09,0.1
Matt Thomas,0.34,0.29,0.22,0.12,0.11,0.04,0.06,0.02,0.18,0.14,0.13,0.06,0.0,0.14,0.19,0.42
Matt Williams,0.54,0.23,0.46,0.18,0.08,0.0,0.0,0.0,0.12,0.08,0.0,0.0,0.0,0.32,0.18,0.42
Matthew Dellavedova,0.26,0.12,0.12,0.13,0.14,0.08,0.08,0.01,0.11,0.09,0.56,0.08,0.0,0.27,0.21,0.26
Maurice Harkless,0.26,0.09,0.09,0.22,0.17,0.07,0.11,0.05,0.17,0.16,0.13,0.12,0.23,0.16,0.21,0.29
Maurice Ndour,0.26,0.0,0.02,0.26,0.24,0.12,0.16,0.07,0.19,0.19,0.06,0.14,0.15,0.16,0.19,0.27
Max Strus,0.5,0.0,0.17,0.75,0.33,0.33,0.33,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.38,0.76
Maxi Kleber,0.26,0.15,0.15,0.16,0.12,0.08,0.09,0.06,0.22,0.21,0.13,0.06,0.35,0.13,0.21,0.31
Melvin Frazier,0.32,0.14,0.14,0.19,0.19,0.03,0.1,0.03,0.08,0.09,0.05,0.15,0.12,0.13,0.23,0.29
Metta World Peace,0.33,0.13,0.16,0.11,0.16,0.13,0.19,0.03,0.17,0.14,0.13,0.12,0.12,0.13,0.25,0.28
Meyers Leonard,0.29,0.17,0.15,0.18,0.14,0.06,0.07,0.04,0.3,0.24,0.18,0.03,0.08,0.17,0.29,0.32
Mfiondu Kabengele,0.51,0.43,0.32,0.17,0.19,0.15,0.15,0.02,0.22,0.17,0.11,0.12,0.29,0.16,0.34,0.6
Michael Beasley,0.49,0.05,0.05,0.53,0.44,0.17,0.22,0.06,0.27,0.24,0.19,0.08,0.21,0.33,0.22,0.55
Michael Carter-Williams,0.33,0.04,0.06,0.26,0.26,0.16,0.21,0.04,0.2,0.17,0.44,0.15,0.23,0.3,0.24,0.32
Michael Frazier,0.2,0.08,0.16,0.04,0.04,0.12,0.19,0.01,0.09,0.07,0.05,0.05,0.0,0.14,0.34,0.17
Michael Gbinije,0.31,0.0,0.11,0.06,0.19,0.11,0.11,0.06,0.04,0.08,0.16,0.0,0.0,0.0,0.12,0.1
Michael Kidd-Gilchrist,0.28,0.02,0.01,0.29,0.26,0.14,0.18,0.06,0.22,0.21,0.13,0.09,0.19,0.12,0.2,0.31
Michael Porter,0.43,0.19,0.16,0.33,0.26,0.13,0.16,0.07,0.32,0.29,0.14,0.09,0.23,0.22,0.25,0.52
Mikal Bridges,0.24,0.11,0.11,0.16,0.12,0.09,0.11,0.03,0.15,0.12,0.19,0.16,0.12,0.12,0.18,0.28
Mike Conley,0.44,0.19,0.17,0.28,0.27,0.25,0.3,0.02,0.12,0.1,0.52,0.12,0.06,0.23,0.13,0.52
Mike Dunleavy,0.27,0.17,0.15,0.11,0.11,0.09,0.11,0.02,0.16,0.13,0.17,0.05,0.08,0.13,0.19,0.29
Mike James,0.47,0.1,0.14,0.32,0.32,0.19,0.24,0.02,0.17,0.13,0.52,0.12,0.08,0.29,0.16,0.44
Mike Miller,0.17,0.14,0.14,0.03,0.02,0.0,0.0,0.01,0.23,0.18,0.33,0.08,0.1,0.2,0.26,0.16
Mike Muscala,0.29,0.16,0.15,0.17,0.14,0.1,0.11,0.05,0.22,0.2,0.17,0.08,0.23,0.14,0.21,0.33
Mike Scott,0.32,0.17,0.15,0.2,0.17,0.06,0.08,0.04,0.22,0.19,0.15,0.05,0.08,0.14,0.21,0.35
Mike Tobey,0.16,0.0,0.0,0.09,0.16,0.0,0.0,0.08,0.06,0.12,0.11,0.0,0.0,0.16,0.18,0.07
Miles Bridges,0.34,0.13,0.13,0.24,0.21,0.09,0.11,0.04,0.22,0.18,0.16,0.08,0.21,0.16,0.15,0.35
Miles Plumlee,0.22,0.0,0.0,0.29,0.22,0.09,0.16,0.09,0.23,0.24,0.13,0.07,0.27,0.23,0.21,0.28
Milos Teodosic,0.31,0.21,0.2,0.12,0.11,0.07,0.08,0.01,0.14,0.11,0.53,0.06,0.04,0.38,0.23,0.34
Milton Doyle,0.38,0.1,0.18,0.16,0.19,0.07,0.13,0.02,0.18,0.14,0.23,0.14,0.12,0.07,0.23,0.25
Mindaugas Kuzminskas,0.36,0.15,0.16,0.22,0.2,0.11,0.13,0.05,0.11,0.12,0.19,0.08,0.1,0.19,0.17,0.38
Mirza Teletovic,0.42,0.29,0.27,0.16,0.15,0.11,0.14,0.02,0.21,0.17,0.13,0.05,0.08,0.17,0.22,0.46
Mitch Creek,0.33,0.0,0.04,0.38,0.29,0.21,0.29,0.12,0.19,0.25,0.36,0.12,0.0,0.09,0.14,0.4
Mitch McGary,0.33,0.0,0.06,0.38,0.28,0.11,0.28,0.06,0.29,0.25,0.16,0.0,0.21,0.44,0.31,0.33
Mitchell Robinson,0.23,0.0,0.0,0.37,0.23,0.12,0.2,0.13,0.26,0.31,0.08,0.11,0.75,0.11,0.33,0.35
Miye Oni,0.29,0.18,0.18,0.11,0.12,0.07,0.09,0.05,0.17,0.16,0.1,0.11,0.15,0.14,0.19,0.29
Mo Bamba,0.32,0.1,0.11,0.27,0.21,0.08,0.13,0.1,0.34,0.32,0.13,0.06,0.69,0.21,0.3,0.34
Mo Williams,0.41,0.14,0.14,0.28,0.27,0.1,0.11,0.01,0.13,0.1,0.37,0.05,0.04,0.31,0.19,0.41
Monta Ellis,0.33,0.07,0.09,0.26,0.25,0.11,0.14,0.01,0.13,0.1,0.37,0.15,0.1,0.29,0.16,0.34
Monte Morris,0.35,0.13,0.11,0.28,0.24,0.08,0.09,0.02,0.11,0.09,0.44,0.11,0.04,0.12,0.11,0.38
Montrezl Harrell,0.4,0.0,0.01,0.56,0.4,0.22,0.34,0.08,0.23,0.23,0.17,0.08,0.33,0.23,0.25,0.55
Moritz Wagner,0.34,0.1,0.12,0.29,0.22,0.19,0.23,0.06,0.27,0.24,0.17,0.08,0.21,0.33,0.37,0.42
Moses Brown,0.3,0.0,0.0,0.24,0.3,0.16,0.49,0.08,0.49,0.43,0.08,0.08,0.21,0.32,0.49,0.3
