,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
58,Bruce Brown,DET,SG,0.2644628099173554,0.5489664520501525,0.20870994248151192,0.3125,0.29545454545454547,0.2135393003180372,0.14580152671755728,0.17884322678843229,0.30434782608695654,0.3684210526315788,0.26,0.12,0.17,0.25,0.32,0.16,0.21,0.19,0.26,0.23,0.33,0.41,0.21,0.28,0.41,0.16
59,Jaylen Brown,BOS,SF,0.6694214876033058,0.6489325652321246,0.38331963845521777,0.5312500000000002,0.3977272727272727,0.25988187187641976,0.44580152671755724,0.23896499238964997,0.45935727788279773,0.4736842105263159,0.57,0.38,0.4,0.41,0.46,0.29,0.38,0.19,0.33,0.29,0.15,0.41,0.1,0.37,0.32,0.48
60,Sterling Brown,MIL,SF,0.3526170798898072,0.2897322941375805,0.2399342645850452,0.40625000000000006,0.5454545454545454,0.3216719672875965,0.21832061068702294,0.16894977168949774,0.2457466918714556,0.4210526315789476,0.37,0.36,0.4,0.22,0.26,0.12,0.13,0.17,0.44,0.35,0.19,0.36,0.13,0.26,0.3,0.25
61,Troy Brown,WAS,SG,0.23415977961432508,0.46086072517790583,0.35168447000821695,0.37500000000000006,0.32954545454545453,0.3593820990458882,0.2893129770992366,0.22298325722983262,0.18147448015122872,0.4736842105263159,0.46,0.24,0.27,0.35,0.44,0.23,0.25,0.25,0.43,0.38,0.32,0.59,0.05,0.26,0.25,0.32
62,Jalen Brunson,DAL,PG,0.25895316804407714,0.43849542527956625,0.3985209531635169,0.5000000000000002,0.36363636363636365,0.12857791912766925,0.3820610687022901,0.27701674277016747,0.17391304347826086,0.21052631578947353,0.51,0.28,0.31,0.4,0.46,0.22,0.25,0.11,0.2,0.14,0.53,0.27,0.05,0.37,0.24,0.4
63,Thomas Bryant,WAS,C,0.26721763085399447,0.44900033886818025,0.6474938373048481,0.7812500000000001,0.2727272727272727,0.5642889595638346,0.3129770992366412,0.4185692541856926,0.20604914933837432,0.6842105263157894,0.47,0.18,0.2,0.57,0.51,0.29,0.33,0.44,0.61,0.59,0.21,0.18,0.41,0.26,0.3,0.5
64,Reggie Bullock,NYK,SG,0.512396694214876,0.5496441884107082,0.31183237469186526,0.5624999999999999,0.6477272727272727,0.11585642889595639,0.1916030534351145,0.2579908675799087,0.17013232514177695,0.4736842105263159,0.39,0.5,0.48,0.17,0.22,0.12,0.11,0.09,0.16,0.12,0.19,0.27,0.05,0.14,0.15,0.3
65,Trey Burke,DAL,PG,0.5840220385674931,0.3720772619451034,0.4548069022185703,0.4375000000000001,0.36363636363636365,0.05633802816901407,0.5118320610687023,0.22222222222222224,0.11531190926275992,0.15789473684210528,0.69,0.4,0.41,0.45,0.56,0.22,0.25,0.09,0.09,0.07,0.5,0.32,0.05,0.35,0.18,0.51
66,Alec Burks,PHI,SG,0.6363636363636364,0.4730599796679092,0.3981101068200494,0.4375000000000001,0.3863636363636364,0.2703316674238982,0.4778625954198473,0.20167427701674281,0.1833648393194707,0.4736842105263159,0.58,0.38,0.37,0.34,0.48,0.43,0.45,0.14,0.35,0.27,0.27,0.41,0.08,0.33,0.24,0.47
67,Deonte Burton,OKC,SG,0.09641873278236915,0.04168078617417826,0.06162695152013147,0.12499999999999996,0.4318181818181818,0.18809631985461156,0.2996183206106871,0.11567732115677322,0.08506616257088846,0.3684210526315788,0.47,0.26,0.36,0.28,0.38,0.1,0.16,0.14,0.27,0.21,0.13,0.27,0.33,0.28,0.39,0.22
68,Jimmy Butler,MIA,SF,0.7961432506887053,0.9657743137919348,0.7719802793755135,0.5937499999999999,0.2272727272727273,0.24625170377101316,0.5729007633587787,0.6841704718417048,0.5141776937618148,0.5263157894736841,0.62,0.2,0.23,0.51,0.63,0.71,0.73,0.25,0.26,0.26,0.46,0.68,0.13,0.33,0.1,0.62
69,Bruno Caboclo,HOU,C,0.15151515151515152,0.21687563537783802,0.29909613804437146,0.24999999999999992,0.5568181818181818,0.3702862335302135,0.28549618320610687,0.17275494672754949,0.10207939508506617,0.6315789473684211,0.38,0.38,0.43,0.2,0.25,0.18,0.18,0.37,0.34,0.37,0.17,0.36,0.41,0.33,0.37,0.26
70,Kentavious Caldwell-Pope,LAL,SG,0.9393939393939394,0.7976956963741104,0.3479868529170091,0.5000000000000002,0.5568181818181818,0.11540208995910951,0.2984732824427481,0.33409436834094375,0.45746691871455575,0.4210526315789476,0.46,0.42,0.45,0.26,0.31,0.24,0.25,0.12,0.17,0.14,0.18,0.5,0.05,0.19,0.16,0.36
71,Clint Capela,HOU,C,0.7878787878787878,0.6607929515418501,0.729252259654889,0.71875,0.0,0.7655611085870059,0.32061068702290074,0.5197869101978692,0.5330812854442345,0.6842105263157894,0.42,0.0,0.0,0.65,0.6,0.25,0.4,0.72,0.72,0.79,0.09,0.27,0.51,0.3,0.34,0.45
72,DeMarre Carroll,HOU,SF-PF,0.6225895316804407,0.6421552016265673,0.338126540673788,0.4375000000000001,0.5909090909090909,0.307587460245343,0.3091603053435115,0.27473363774733645,0.32136105860113423,0.4736842105263159,0.44,0.44,0.47,0.2,0.27,0.31,0.35,0.23,0.36,0.33,0.15,0.41,0.1,0.21,0.25,0.35
73,Jevon Carter,PHO,PG,0.16804407713498623,0.2890545577770247,0.24116680361544787,0.37500000000000006,0.6590909090909091,0.14993184915947297,0.20190839694656487,0.17503805175038056,0.18525519848771266,0.21052631578947353,0.33,0.46,0.46,0.09,0.2,0.12,0.13,0.17,0.17,0.16,0.33,0.68,0.18,0.26,0.33,0.21
74,Vince Carter,ATL,SF,0.8016528925619835,0.38292104371399527,0.28594905505341006,0.4375000000000001,0.6931818181818181,0.1985461154020899,0.25190839694656497,0.22298325722983262,0.20982986767485823,0.4736842105263159,0.4,0.5,0.52,0.13,0.2,0.18,0.18,0.12,0.27,0.21,0.19,0.41,0.21,0.16,0.34,0.29
75,Wendell Carter,CHI,C,0.14049586776859505,0.6790918332768552,0.46548890714872637,0.5624999999999999,0.10227272727272727,0.5897319400272603,0.3095419847328244,0.2503805175038052,0.2835538752362949,0.6315789473684211,0.38,0.02,0.07,0.46,0.51,0.33,0.38,0.53,0.57,0.61,0.16,0.27,0.38,0.37,0.51,0.34
76,Michael Carter-Williams,ORL,SG,0.5179063360881543,0.4435784479837343,0.3562037797863599,0.28124999999999994,0.25,0.2698773284870513,0.37519083969465644,0.14535768645357688,0.24196597353497165,0.4210526315789476,0.43,0.1,0.18,0.34,0.48,0.32,0.35,0.22,0.32,0.29,0.51,0.68,0.28,0.51,0.39,0.29
77,Alex Caruso,LAL,PG,0.24793388429752067,0.3673331074212131,0.2785538208709943,0.4375000000000001,0.4318181818181818,0.11858246251703769,0.18740458015267178,0.18417047184170474,0.24763705103969755,0.4210526315789476,0.28,0.24,0.26,0.2,0.28,0.24,0.28,0.12,0.17,0.14,0.4,0.68,0.15,0.4,0.3,0.23
78,Willie Cauley-Stein,DAL,C,0.8622589531680441,0.5523551338529312,0.5328677074774034,0.5624999999999999,0.011363636363636364,0.510222626079055,0.30267175572519084,0.32191780821917815,0.37240075614366736,0.7894736842105264,0.42,0.0,0.02,0.55,0.6,0.25,0.35,0.44,0.52,0.53,0.21,0.5,0.31,0.23,0.37,0.36
79,Tyson Chandler,HOU,C,0.5619834710743802,0.4859369705184683,0.40016433853738703,0.8125000000000001,0.0,0.7264879600181735,0.026335877862595402,0.2884322678843227,0.22684310018903595,0.7894736842105264,0.09,0.0,0.0,0.3,0.28,0.24,0.31,0.62,0.75,0.77,0.09,0.23,0.21,0.3,0.37,0.16
80,Wilson Chandler,BRK,SF,0.5371900826446281,0.7041680786174178,0.2875924404272802,0.46875000000000017,0.5227272727272727,0.3166742389822807,0.2404580152671756,0.27245053272450537,0.20982986767485823,0.5789473684210523,0.41,0.34,0.37,0.28,0.32,0.16,0.18,0.22,0.37,0.33,0.19,0.23,0.13,0.23,0.28,0.3
81,Marquese Chriss,GSW,PF,0.6060606060606061,0.4144357844798373,0.36483155299917835,0.4375000000000001,0.36363636363636365,0.4706951385733757,0.365648854961832,0.18264840182648404,0.2514177693761815,0.6315789473684211,0.45,0.22,0.3,0.38,0.42,0.29,0.37,0.37,0.5,0.49,0.16,0.45,0.38,0.44,0.51,0.36
82,Gary Clark,ORL,PF,0.15702479338842976,0.19756014910199932,0.24322103533278552,0.40625000000000006,1.0,0.3062244434348024,0.05114503816793893,0.18417047184170474,0.11342155009451796,0.4736842105263159,0.24,0.5,0.57,0.03,0.01,0.07,0.06,0.3,0.34,0.32,0.07,0.23,0.36,0.02,0.25,0.14
